Date,temp_max,temp_min,rainfall
2020-11-17,31.9,23.4,0.2
2020-11-18,32.5,24.2,0.3
2020-11-19,31.8,24.9,4.1
2020-11-20,31.8,24.3,9.0
2020-11-21,31.5,24.5,18.0
2020-11-22,31.6,23.8,0.1
2020-11-23,31.4,23.2,3.3
2020-11-24,31.4,23.4,0.4
2020-11-25,32.0,24.0,0.0
2020-11-26,31.3,23.5,0.0
2020-11-27,31.5,22.6,0.4
2020-11-28,32.2,22.7,20.9
2020-11-29,28.2,23.9,10.9
2020-11-30,30.0,23.0,3.7
2020-12-01,29.6,23.7,5.1
2020-12-02,31.2,23.7,0.3
2020-12-03,31.0,21.6,0.0
2020-12-04,31.0,20.6,0.0
2020-12-05,32.0,21.2,0.0
2020-12-06,33.0,22.8,0.0
2020-12-07,29.2,23.5,0.2
2020-12-08,32.8,24.4,0.1
2020-12-09,28.6,24.1,13.0
2020-12-10,31.9,23.5,3.0
2020-12-11,31.8,24.5,5.0
2020-12-12,31.6,23.9,7.4
2020-12-13,31.4,23.9,5.8
2020-12-14,30.8,24.0,1.4
2020-12-15,31.0,23.9,26.8
2020-12-16,31.2,22.6,0.1
2020-12-17,31.5,23.1,0.5
2020-12-18,31.4,23.4,2.7
2020-12-19,31.3,23.4,0.0
2020-12-20,31.4,23.0,0.0
2020-12-21,31.5,22.1,0.0
2020-12-22,30.5,21.5,1.2
2020-12-23,31.3,22.9,3.7
2020-12-24,31.5,23.4,2.3
2020-12-25,32.7,23.6,0.4
2020-12-26,33.2,23.4,0.0
2020-12-27,32.2,23.5,0.5
2020-12-28,32.0,23.0,0.9
2020-12-29,34.1,22.9,0.1
2020-12-30,32.7,25.2,0.5
2020-12-31,30.9,23.3,0.3
2021-01-01,30.9,22.2,0.0
2021-01-02,32.2,22.4,0.3
2021-01-03,33.2,22.4,0.2
2021-01-04,33.5,23.4,1.0
2021-01-05,33.0,24.0,3.9
2021-01-06,33.3,23.9,0.1
2021-01-07,35.2,24.5,0.0
2021-01-08,34.5,23.4,0.0
2021-01-09,32.5,22.6,0.0
2021-01-10,32.9,21.9,0.0
2021-01-11,34.3,21.4,0.0
2021-01-12,32.9,21.5,0.0
2021-01-13,30.8,19.4,0.0
2021-01-14,31.8,20.5,0.0
2021-01-15,32.8,20.7,0.0
2021-01-16,32.8,21.7,0.0
2021-01-17,34.7,21.8,0.0
2021-01-18,32.6,21.5,0.0
2021-01-19,31.3,20.2,0.0
2021-01-20,32.7,21.6,0.0
2021-01-21,32.8,22.3,0.0
2021-01-22,31.5,23.3,10.0
2021-01-23,29.0,23.7,5.1
2021-01-24,30.8,22.7,1.3
2021-01-25,31.1,22.6,0.2
2021-01-26,31.8,22.3,0.2
2021-01-27,32.5,22.0,0.3
2021-01-28,33.1,22.6,0.2
2021-01-29,31.5,21.9,0.0
2021-01-30,32.8,20.1,0.0
2021-01-31,32.8,22.0,0.0
2021-02-01,33.3,22.6,0.0
